Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
outerknown-women,homestead-turtleneck-natural,HOMESTEAD TURTLENECK,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody><li>Soft. Light. Built for Adventure. It's a tough call, but this might be our favorite tee.</li>
<li>Pigment-dyed for a washed-out, lived-in feel</li>
<li>Unique rib trim at the neck, chest pocket, and sleeve hem</li>
<li>Signature bite stitch detailing at hem</li>
<li>Neckline is slightly more relaxed than a classic crew</li> </sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody><li><span> Fit is Boxy and Sizes available : M,L,XS,S</span></li></sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody><li><span>Free shipping on order over $100 and  30-day returns on purchase as long as they are in original condition (unworn, unwashed and with tags).</span></li></sectionBody></section></sections>",outerknown-women,HOMESTEAD TURTLENECK,"outerknown,Sweaters",,Title, Default Title,Link,https://www.outerknown.com/products/homestead-turtleneck-natural,,,,1,,deny,manual,158.00,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/2410005_outerknown_homesteadsweater_nat_f_pdp.jpg?v=1571163714,1,,FALSE
outerknown-women,homestead-turtleneck-natural,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/DSC08557_color_pdp.jpg?v=1572021155,2,,
outerknown-women,homestead-turtleneck-natural,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/2410005_outerknown_homesteadsweater_nat_d3_pdp.jpg?v=1572021155,3,,
outerknown-women,homestead-turtleneck-natural,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/2410005_outerknown_homesteadsweater_nat_d1_pdp.jpg?v=1572021155,4,,
outerknown-women,homestead-turtleneck-natural,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/2410005_outerknown_homesteadsweater_nat_swt.png?v=1572021155,5,,
outerknown-women,homestead-turtleneck-heather-charcoal,HOMESTEAD TURTLENECK,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody><li>Soft. Light. Built for Adventure. It's a tough call, but this might be our favorite tee.</li>
<li>Pigment-dyed for a washed-out, lived-in feel</li>
<li>Unique rib trim at the neck, chest pocket, and sleeve hem</li>
<li>Signature bite stitch detailing at hem</li>
<li>Neckline is slightly more relaxed than a classic crew</li> </sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody><li><span> Fit is Boxy and Sizes available : XS,S,M,L</span></li></sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody><li><span>Free shipping on order over $100 and  30-day returns on purchase as long as they are in original condition (unworn, unwashed and with tags).</span></li></sectionBody></section></sections>",outerknown-women,HOMESTEAD TURTLENECK,"outerknown,Sweaters",,Title, Default Title,Link,https://www.outerknown.com/products/homestead-turtleneck-heather-charcoal,,,,1,,deny,manual,158.00,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/2410005_outerknown_homesteadsweater_chh_d1_pdp.jpg?v=1571163712,1,,FALSE
outerknown-women,homestead-turtleneck-heather-charcoal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/2410005_outerknown_homesteadsweater_chh_f_pdp.jpg?v=1571163725,2,,
outerknown-women,homestead-turtleneck-heather-charcoal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/2410005_outerknown_homesteadsweater_chh_d2_pdp.jpg?v=1571163725,3,,
outerknown-women,homestead-turtleneck-heather-charcoal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/2410005_outerknown_homesteadsweater_chh_swt.png?v=1571163734,4,,
outerknown-women,strand-high-rise-skinny-jeans-indigo,STRAND HIGH RISE SKINNY JEANS,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody><li>Soft. Light. Built for Adventure. It's a tough call, but this might be our favorite tee.</li>
<li>Pigment-dyed for a washed-out, lived-in feel</li>
<li>Unique rib trim at the neck, chest pocket, and sleeve hem</li>
<li>Signature bite stitch detailing at hem</li>
<li>Neckline is slightly more relaxed than a classic crew</li> </sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody><li><span> Fit is Skinny and Sizes available : 24,25,26,27,28,29,30,31,32</span></li></sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody><li><span>Free shipping on order over $100 and  30-day returns on purchase as long as they are in original condition (unworn, unwashed and with tags).</span></li></sectionBody></section></sections>",outerknown-women,STRAND HIGH RISE SKINNY JEANS,"outerknown,Pants,Jeans",,Title, Default Title,Link,https://www.outerknown.com/products/strand-high-rise-skinny-jeans-indigo,,,,1,,deny,manual,128.00,,,,,https://cdn.shopify.com/s/files/1/2445/4975/products/2630004_outerknown_strandhighriseskinny_INK_3_pdp_284e9303-36e3-4754-8bfd-b36b84b7568e.jpg?v=1571943330,1,,FALSE
